symbol,name,market_cap,ipo_year,sector,industry,exchange
XXII,"22nd Century Group, Inc",$274.93M,,consumer_non_durables,Farming/Seeds/Milling,AMEX
FAX,Aberdeen Asia-Pacific Income Fund Inc,$1.02B,1986.0,,,AMEX
IAF,Aberdeen Australia Equity Fund Inc,$116.67M,,,,AMEX
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",$417.44M,,,,AMEX
FCO,"Aberdeen Global Income Fund, Inc.",$68.32M,1992.0,,,AMEX
ACU,Acme United Corporation.,$53.23M,1988.0,capital_goods,Industrial Machinery/Components,AMEX
ATNM,"Actinium Pharmaceuticals, Inc.",$49.76M,,health_care,Major Pharmaceuticals,AMEX
AE,"Adams Resources & Energy, Inc.",$177.86M,,energy,Oil Refining/Marketing,AMEX
ACY,AeroCentury Corp.,$15.34M,,technology,Diversified Commercial Services,AMEX
UAVS,"AgEagle Aerial Systems, Inc.",$6.17M,,capital_goods,Aerospace,AMEX
AGE,"AgeX Therapeutics, Inc.",,2018.0,health_care,Major Pharmaceuticals,AMEX
AIRI,Air Industries Group,$27.47M,,capital_goods,Military/Government/Technical,AMEX
AXU,Alexco Resource Corp,$105.51M,,basic_industries,Precious Metals,AMEX
ALO,Alio Gold Inc.,$71.8M,2011.0,basic_industries,Precious Metals,AMEX
AAU,"Almaden Minerals, Ltd.",$92.09M,2015.0,basic_industries,Precious Metals,AMEX
APT,"Alpha Pro Tech, Ltd.",$55.61M,,health_care,Industrial Specialties,AMEX
AAMC,Altisource Asset Management Corp,$46.08M,,finance,Real Estate,AMEX
AMBO,Ambow Education Holding Ltd.,$124.69M,,consumer_services,Other Consumer Services,AMEX
DIT,AMCON Distributing Company,$58.65M,,consumer_non_durables,Food Distributors,AMEX
AMS,American Shared Hospital Services,$14.4M,,health_care,Medical Specialities,AMEX
USAS,Americas Silver Corporation,$72.48M,2017.0,basic_industries,Precious Metals,AMEX
AMPE,"Ampio Pharmaceuticals, Inc.",$53.36M,,health_care,Major Pharmaceuticals,AMEX
APHB,AmpliPhi Biosciences Corporation,$7.99M,,health_care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
ARNC^,Arconic Inc.,,,,,AMEX
AKG,Asanko Gold Inc.,$160.68M,,basic_industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
AINC,Ashford Inc.,$121.47M,2014.0,consumer_services,Professional Services,AMEX
AST,"Asterias Biotherapeutics, Inc.",$41.74M,,health_care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
AUG,Auryn Resources Inc.,$83.73M,,basic_industries,Precious Metals,AMEX
AWX,Avalon Holdings Corporation,$11.41M,,public_utilities,Environmental Services,AMEX
ASM,Avino Silver,$39.28M,,basic_industries,Precious Metals,AMEX
BTG,B2Gold Corp,$2.83B,,basic_industries,Precious Metals,AMEX
BTN,"Ballantyne Strong, Inc",$23.83M,,miscellaneous,Industrial Machinery/Components,AMEX
BKJ,"Bancorp of New Jersey, Inc",$98.63M,,finance,Major Banks,AMEX
BCV,Bancroft Fund Limited,$104.27M,,,,AMEX
BCV^A,Bancroft Fund Limited,,,,,AMEX
BHB,"Bar Harbor Bankshares, Inc.",$367.89M,,finance,Major Banks,AMEX
BRN,"Barnwell Industries, Inc.",$11.02M,,energy,Oil & Gas Production,AMEX
BGSF,BG Staffing Inc,$228.76M,,technology,Professional Services,AMEX
BPMX,BioPharmX Corporation,$25.54M,2015.0,health_care,Major Pharmaceuticals,AMEX
BTX,"BioTime, Inc.",$134.58M,,health_care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
BGI,Birks Group Inc.,$17.22M,,consumer_services,Consumer Specialties,AMEX
BKTI,"BK Technologies, Inc.",$61.98M,,technology,Radio And Television Broadcasting And Communications Equipment,AMEX
BDR,"Blonder Tongue Laboratories, Inc.",$10.4M,,technology,Radio And Television Broadcasting And Communications Equipment,AMEX
BRG,"Bluerock Residential Growth REIT, Inc.",$242.34M,2014.0,consumer_services,Real Estate Investment Trusts,AMEX
BRG^A,"Bluerock Residential Growth REIT, Inc.",,,,,AMEX
BRG^C,"Bluerock Residential Growth REIT, Inc.",,,,,AMEX
BRG^D,"Bluerock Residential Growth REIT, Inc.",,,,,AMEX
BWL.A,"Bowl America, Inc.",,,,,AMEX
CMCL,Caledonia Mining Corporation Plc,$60.97M,,basic_industries,Precious Metals,AMEX
CEI,"Camber Energy, Inc.",$4.11M,,energy,Oil & Gas Production,AMEX
CANF,Can-Fite Biopharma Ltd,$26.06M,,health_care,Major Pharmaceuticals,AMEX
ROX,"Castle Brands, Inc.",$153.52M,2006.0,consumer_non_durables,Beverages (Production/Distribution),AMEX
CAW,"CCA Industries, Inc.",$18.49M,,consumer_non_durables,Package Goods/Cosmetics,AMEX
CVM,Cel-Sci Corporation,$83.75M,,health_care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
CET,Central Securities Corporation,$641.12M,,,,AMEX
LEU,Centrus Energy Corp.,$20.34M,2014.0,basic_industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
CHAC.U,Chardan Healthcare Acquisition Corp.,,2018.0,,,AMEX
CCF,Chase Corporation,$918.64M,,consumer_durables,Building Products,AMEX
CQP,"Cheniere Energy Partners, LP",$18.89B,2007.0,public_utilities,Oil/Gas Transmission,AMEX
LNG,"Cheniere Energy, Inc.",$16.37B,,public_utilities,Oil/Gas Transmission,AMEX
CVR,Chicago Rivet & Machine Co.,$29.68M,,technology,Industrial Machinery/Components,AMEX
CPHI,"China Pharma Holdings, Inc.",$12.64M,,health_care,Major Pharmaceuticals,AMEX
CKX,"CKX Lands, Inc.",$20.63M,,energy,Oil & Gas Production,AMEX
GLV,Clough Global Dividend and Income Fund,$76.02M,2004.0,,,AMEX
GLQ,Clough Global Equity Fund,$132.86M,2005.0,,,AMEX
GLO,Clough Global Opportunities Fund,$292.28M,2006.0,,,AMEX
COHN,Cohen & Company Inc.,$10.14M,,finance,Investment Bankers/Brokers/Service,AMEX
MOC,Command Security Corporation,$28.38M,,consumer_services,Diversified Commercial Services,AMEX
CIX,CompX International Inc.,$176.58M,1998.0,capital_goods,Industrial Machinery/Components,AMEX
LODE,"Comstock Mining, Inc.",$9.71M,,basic_industries,Precious Metals,AMEX
CDOR,"Condor Hospitality Trust, Inc.",$101.63M,,consumer_services,Real Estate Investment Trusts,AMEX
CTO,Consolidated-Tomoka Land Co.,$342.52M,,finance,Real Estate,AMEX
MCF,Contango Oil & Gas Company,$130.83M,,energy,Oil & Gas Production,AMEX
CUO,Continental Materials Corporation,$17.57M,,capital_goods,Building Materials,AMEX
CMT,Core Molding Technologies Inc,$67.46M,,consumer_non_durables,Plastic Products,AMEX
CVRS,"Corindus Vascular Robotics, Inc.",$227.67M,2015.0,health_care,Medical/Dental Instruments,AMEX
CRMD,CorMedix Inc,$207.58M,,health_care,Major Pharmaceuticals,AMEX
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",$255.98M,,,,AMEX
CLM,"Cornerstone Strategic Value Fund, Inc.",$520.88M,1987.0,,,AMEX
CVU,"CPI Aerostructures, Inc.",$83.85M,,capital_goods,Military/Government/Technical,AMEX
CIK,"Credit Suisse Asset Management Income Fund, Inc.",$152.73M,,,,AMEX
DHY,Credit Suisse High Yield Bond Fund,$235.9M,1998.0,,,AMEX
