cor,symbol,name,marketcapital,pettm
0.97733689,NOVT,Novanta Inc.,2392397000,79.7
0.975878886,MSCI,MSCI明晟,14149520300,35.17
0.968463039,V,VISA,2.85385E+11,49.46
0.967898207,CAE,CAE Inc. Ordinary Shares,5323474700,19.41
0.96644063,MA,万事达,2.12908E+11,55.34
0.964490854,FIS,繁德信息技术,34127552400,22.65
0.962901776,CSGP,科斯塔,13535413800,67.45
0.958898061,CBZ,"CBIZ, Inc.",1124258900,16.88
0.958441898,TSS,"Total System Services, Inc.",15728278900,27.54
0.958287486,BR,Broadridge金融解决方案,11687893900,26.48
0.957886896,MELI,Mercadolibre,15850834500,
0.957348149,ACN,埃森哲,95904141100,23.11
0.95160751,FICO,Fair Isaac Corproation,6129489900,46.32
0.949256847,GPN,环汇有限公司,17946062400,29.08
0.946920604,CRAI,CRA国际,336521500,26.8
0.938179088,WP,"Worldpay, Inc. Class A",24954374000,
0.935653978,BFAM,Bright Horizons Family Solutions Inc.,6642546100,41.9
0.934069375,BABA,阿里巴巴,4.02938E+11,39.55
0.933924251,HQY,"HealthEquity, Inc.",3629771000,54.89
0.929617466,STMP,Stamps.com Inc.,3107575100,19.42
0.927199729,WNS,WNS (Holdings) Limited Sponsored ADR (Jersey),2279487400,28.01
0.924223961,DLB,Dolby Laboratories,4075599500,56.11
0.923587783,VVI,Viad Corp,1074183400,36.93
0.92066303,GRUB,GrubHub,7344099600,53.62
0.915605854,RILY,"B. Riley Financial, Inc.",387691400,23.17
0.914733151,BKNG,Booking Holdings Inc.,81552117100,30.31
0.912435618,ISDR,Issuer Direct Corporation,50741800,27.6
0.910869053,WEX,WEX Inc.,6817668900,30.53
0.908110781,TNET,"TriNet Group, Inc.",3198881100,14.32
0.872022263,CASS,卡斯信息系统,783816400,27.68
0.860916418,FLT,FleetCor科技,16522200200,22.55
0.860524818,CMPR,Cimpress N.V - Ordinary Shares (The Netherlands),3708795700,705.82
0.859183423,PAR,PAR Technology Corporation,399927700,
0.846506305,ULBI,Ultralife Corporation,115526300,12.7
0.840719313,GRVY,GRAVITY Co,298802700,2150
0.83921806,ESIO,电子科技工业,1029098400,6.82
0.832384305,USAT,全美科技,310882000,
0.824571352,TTGT,"TechTarget, Inc.",380262700,27.71
0.815875847,EXLS,伊克赛尔服务控股,1911523600,45.37
0.815447153,QNST,"QuinStreet, Inc.",926157500,48.18
0.815124074,FNJN,"Finjan Holdings, Inc.",77944700,1.7
0.810901868,ZG,Zillow A股,1936183500,68.14
0.796609699,EBAY,eBay,32381704100,18.24
0.758363778,USATP,全美科技,8658700,
0.757231163,LLNW,"Limelight Networks, Inc.",322628200,23.75
0.747394707,ENV,"Envestnet, Inc",2406809700,101.23
0.74614818,TPNL,3PEA INTERNATIONAL,184341200,83.6
0.736662752,BID,苏富比,1950739500,22.75
0.719656787,SFLY,"Shutterfly, Inc.",1470531700,
0.713792874,CDK,"CDK Global, Inc.",6469578400,17.21
0.687986545,IDCC,"InterDigital, Inc.",2448147900,22.54
0.68740539,NTES,网易,33184135916,19.71
0.671181321,RDWR,Radware Ltd. - Ordinary Shares,1039484200,57.38
0.645393712,HMSY,HMS控股,2481973000,53.78
0.634067193,CTEK,新兴佳集团,45195800,
0.622757811,MMS,马克西姆斯服务,4429688300,20.62
0.59911905,ITGR,Integer Holdings Corporation,2612311400,41.58
0.57633241,ARTX,阿罗特克,85815100,14.73
0.574453233,PCOM,"Points International, Ltd.",140034400,21.46
0.558275746,RBA,里奇兄弟拍卖,3872087500,31.54
0.429488755,CAJ,佳能,37332039400,11.42
0.324525746,NTIP,"Network-1 Technologies, Inc.",61288300,8.06
0.306576237,AKAM,Akamai,11401401145,37.38
0.276180304,QUAD,"Quad Graphics, Inc Class A",529420500,8.52
0.263547707,INWK,"InnerWorkings, Inc.",236648400,
0.254878085,ATHN,雅典娜健康,5510856200,43.74
0.221510878,KGJI,金凰珠宝,49406663,1.63
0.210712822,CTRP,携程,16966272960,36.82
0.167076154,NCR,NCR Corporation,3079110000,
0.166695603,HPJ,豪鹏国际,36848096.76,10.17
0.099608283,LABL,Multi-Color Corporation,881838900,10.23
0.062471924,MGI,速汇金国际,122353800,
0.049469481,SITO,"SITO Mobile, Ltd.",29761900,
0.043971188,RECN,"Resources Connection, Inc.",521554500,21.63
0.017045607,WU,西联汇款,8085657900,
-0.086115799,BTN,"Ballantyne Strong, Inc.",24841800,
-0.086966847,WAGE,"WageWorks, Inc.",1159368700,25
-0.104360839,SGRP,"SPAR Group, Inc.",13840800,
