symbol,name,marketcapital,pettm
MSFT,微软,8.31029277659E11,71.81
AMZN,亚马逊,8.1735162564E11,420.89
AAPL,苹果,7.9690450982E11,16.12
GOOGL,谷歌A,7.693332159E11,49.72
GOOG,谷歌C,7.630600654E11,38.81
BRK.B,伯克希尔-哈撒韦B,5.0445216E11,11.22
BRK.A,伯克希尔-哈撒韦A,5.0413136448E11,11.21
FB,Facebook,4.35987537348E11,27.33
BABA,阿里巴巴,4.0293750108E11,39.55
JPM,摩根大通,3.62898600504E11,15.09
JNJ,强生,3.50771920793E11,21.67
TCEHY,腾讯控股ADR,3.49874E11,45.87
XOM,埃克森美孚,3.09266374239E11,15.76
WMT,沃尔玛,2.91939212368E11,23.49
V,VISA,2.853845407E11,49.46
BAC,美国银行,2.833100906E11,13.89
NSRGY,雀巢,2.6195E11,25.1
SSNLF,三星电子,2.5629E11,11.38
UNH,联合健康,2.554200801E11,20.61
WFC,富国银行,2.538459035289E11,12.41
PFE,辉瑞,2.53508881469E11,12.08
SPY,标普500ETF-SPDR,2.484924972E11,9.62
VZ,Verizon,2.369075148E11,16.6
PG,宝洁,2.337131474524E11,24.44
INTC,英特尔,2.302092E11,24.72
NVS,诺华制药,2.269801027E11,27.13
RHHBY,罗氏控股,2.1752E11,21.55
CVX,雪佛龙,2.17231392943E11,23.58
BA,波音,2.17225346305E11,27.86
MA,万事达,2.12908E11,55.34
CHL,中国移动,2.105698661E11,59.79
ORCL,甲骨文,2.069941094E11,24.27
MRK,默沙东,2.04559973235E11,40.14
KO,可口可乐,2.02993200153E11,153.58
HD,家得宝,2.028405941E11,19.6
CSCO,思科,2.024531567E11,145.26
TSM,台积电,1.910550432E11,81.87
T,AT&T,1.9006344E11,12.59
TM,丰田汽车,1.8645092991E11,8.8
C,花旗集团,1.74993888E11,12.65
DIS,迪士尼,1.67705066688E11,19.51
HSBC,汇丰银行,1.662549691E11,86.44
CMCSA,康卡斯特,1.643955869E11,7.07
IVV,标普500ETF-iShares,1.597831235E11,9.2
PEP,百事,1.5898698293238E11,24.14
NFLX,奈飞,1.4673911601E11,271.28
MCD,麦当劳,1.45542174992E11,26.42
TOT,道达尔,1.420239623E11,20.7
BP,英国石油,1.376379094E11,239.76
RDS.A,荷兰皇家壳牌,1.363358329E11,25.88
ABBV,AbbVie Inc.,1.346273613E11,18.57
DWDP,陶氏杜邦,1.33203796E11,156.92
DWMT,DWMT,1.3138176E11,
NKE,耐克,1.30887323E11,34.83
LVMUY,路易威登,1.3043E11,24.9
AMGN,安进,1.299162595E11,75.79
SAP,SAP SE,1.299020375E11,32.94
BHP,必和必拓,1.27845079659E11,21.74
ENI.RT,ENERSIS S A,1.2689488E11,15.2
ABT,雅培,1.254373051E11,158.71
BUD,百威英博,1.247072848E11,14.85
LLY,礼来,1.235063817E11,248.06
ADBE,Adobe,1.22104974585E11,73.23
IBM,IBM Corp,1.195765307295E11,10.12
PTR,中石油,1.1883552088554E11,41.62
LRLCY,欧莱雅,1.1847E11,
MDT,美敦力,1.172478649E11,52.28
MMM,3M公司,1.16882804206E11,21.81
GNA,GNA,1.164977366E11,8.52
RDS.B,荷兰皇家壳牌,1.154546285E11,7.8
PM,菲利普莫里斯,1.147083187E11,17.16
UNP,联合太平洋,1.139372238E11,10.39
SIEGY,西门子,1.139E11,15.66
PYPL,PayPal,1.09518066536E11,59.95
RY,加拿大皇家银行,1.067704904E11,11.68
CRM,Salesforce,1.06253717E11,525.9
AVGO,博通,1.062243964E11,17.74
HON,霍尼韦尔,1.050098958E11,39.96
SNY,赛诺菲-安万特,1.034839284E11,22.3
VTI,美国全股市ETF-Vanguard,1.008644073E11,26.07
PBR,巴西石油公司,1.00442626361E11,
TXN,德州仪器,9.902072540262E10,33.47
BSBR,桑坦德银行-巴西,9.857109834E10,40.22
TD,道明银行,9.83837979E10,10.92
DCM,NTT DOCOMO,9.81506591E10,22.96
GSK,葛兰素史克,9.69559365E10,169.83
SNP,中石化,9.6554289975E10,11.87
ACN,埃森哲,9.59041411E10,23.11
TMO,赛默飞世尔科技,9.58816169E10,37.57
VOO,标普500ETF-Vanguard,9.57759752E10,
PCLN,Priceline,9.487015880012E10,48.56
COST,好市多,9.3788629181E10,33.96
UTX,联合技术,9.37859077493E10,13.21
NVDA,英伟达,9.337335E10,52.14
RAI,雷诺美国烟草,9.32908183E10,28.31
HDB,HDFC银行,9.32517024E10,32.66
AZN,阿斯利康,9.26205828E10,16.39
MTU,三菱日联金融,9.22961861E10,4.78
RIO,力拓,9.228068E10,15.06
AXP,美国运通,9.196184608192E10,17.78
FOX,21世纪福克斯(B股),9.158683872705E10,29.85
STO,挪威石油,9.12122245E10,19.51
NVO,诺和诺德,9.11336746E10,27.61
SBUX,星巴克,9.094232E10,21.35
NTT,日本电报电话,9.08158084E10,21.13
UN,联合利华,9.07948317E10,29.09
MO,奥驰亚,9.07766872E10,8.61
GILD,吉利德科学,9.0343974516E10,7.7
SFTBY,软银集团,8.964E10,
UPS,UPS快递,8.81888E10,18.24
LIN,Linde plc Ordinary Share,8.66588415E10,
DEO,帝亚吉欧,8.59019374E10,30.37
CVS,西维斯,8.47304037E10,26.42
NEE,新纪元能源,8.38746132E10,9.93
LMT,洛克希德-马丁,8.196932012598E10,16.77
MS,摩根士丹利,8.182356211641E10,17.48
QCOM,高通,8.1820906585E10,
BMY,百时美施贵宝,8.18191267E10,19.65
BKNG,Booking Holdings Inc.,8.15521171E10,30.31
DOW,陶氏化学(更名DWDP),8.154260925E10,26.17
USB,美国合众银行,8.075376E10,12.13
CAT,卡特彼勒,8.072688448E10,853.75
SAN,桑坦德银行,8.06957725E10,9.11
GS,高盛,8.053987241118E10,16.1
GE,通用电气,8.01482934E10,7.74
DDAIF,戴姆勒汽车,7.927E10,6.73
VLKAY,大众汽车,7.829E10,8.17
COP,康菲石油,7.81693242E10,13.58
TWX,时代华纳,7.690163061E10,14.29
VALE,淡水河谷,7.661945833788E10,
LOW,劳氏,7.62648565E10,21.11
DHR,丹纳赫,7.53119954E10,27.55
BTI,英美烟草公司,7.50980394E10,251.85
EQNR,Equinor ASA,7.48193979E10,16.01
