,0,1,2,3,4,5
0,000001.SZ,4,3,2,1,0
0,000002.SZ,7,3,3,2,1
0,000004.SZ,6,4,3,0,0
0,000005.SZ,7,6,4,3,3
0,000006.SZ,6,3,2,2,2
0,000007.SZ,23,19,14,13,12
0,000008.SZ,7,5,4,3,2
0,000009.SZ,9,6,4,3,3
0,000010.SZ,14,12,8,6,4
0,000011.SZ,9,5,4,3,3
0,000012.SZ,3,2,1,1,1
0,000014.SZ,23,17,12,11,11
0,000016.SZ,9,7,5,4,2
0,000017.SZ,16,16,13,11,11
0,000018.SZ,20,15,9,9,8
0,000019.SZ,8,7,7,7,6
0,000020.SZ,14,11,9,9,9
0,000021.SZ,8,5,3,3,2
0,000023.SZ,18,14,12,12,12
0,000025.SZ,11,11,10,10,10
0,000026.SZ,1,0,0,0,0
0,000027.SZ,5,2,1,0,0
0,000028.SZ,1,1,0,0,0
0,000030.SZ,4,3,2,1,1
0,000031.SZ,5,2,2,2,2
0,000032.SZ,14,4,3,1,1
0,000034.SZ,12,9,8,7,6
0,000035.SZ,6,5,2,1,1
0,000036.SZ,8,6,3,2,1
0,000037.SZ,15,15,14,12,11
0,000038.SZ,4,3,3,3,3
0,000039.SZ,3,1,1,1,0
0,000040.SZ,6,4,3,0,0
0,000042.SZ,6,2,2,2,0
0,000043.SZ,3,1,1,1,1
0,000045.SZ,8,6,5,3,3
0,000046.SZ,14,7,4,2,2
0,000048.SZ,8,4,3,3,2
0,000049.SZ,14,4,2,0,0
0,000050.SZ,13,9,8,7,7
0,000055.SZ,12,10,9,9,8
0,000056.SZ,7,4,2,2,2
0,000058.SZ,19,15,10,9,9
0,000059.SZ,4,1,1,1,0
0,000060.SZ,4,3,1,1,1
0,000061.SZ,6,5,5,4,3
0,000062.SZ,6,5,2,2,2
0,000063.SZ,23,17,14,9,6
0,000065.SZ,12,8,7,4,4
0,000066.SZ,13,9,6,4,3
0,000068.SZ,28,25,23,23,22
0,000069.SZ,7,2,0,0,0
0,000070.SZ,23,17,16,15,14
0,000078.SZ,5,2,2,2,2
0,000088.SZ,3,1,1,1,1
0,000089.SZ,3,1,1,1,0
0,000090.SZ,5,2,1,1,1
0,000096.SZ,3,3,2,2,1
0,000099.SZ,3,1,1,0,0
0,000100.SZ,11,6,4,3,2
0,000150.SZ,14,9,5,4,3
0,000151.SZ,17,12,10,10,10
0,000153.SZ,6,3,2,2,2
0,000155.SZ,11,6,4,4,4
0,000156.SZ,5,3,2,1,1
0,000157.SZ,1,0,0,0,0
0,000158.SZ,11,6,6,5,5
0,000159.SZ,13,11,11,10,10
0,000166.SZ,4,4,4,3,3
0,000301.SZ,8,7,3,1,1
0,000333.SZ,9,3,1,0,0
0,000338.SZ,4,3,2,2,0
0,000400.SZ,11,6,4,3,3
0,000401.SZ,12,9,5,4,3
0,000402.SZ,3,0,0,0,0
0,000403.SZ,6,2,1,0,0
0,000404.SZ,2,2,1,1,1
0,000407.SZ,8,5,4,4,3
0,000408.SZ,6,5,3,0,0
0,000409.SZ,16,2,1,1,1
0,000410.SZ,14,10,8,7,7
0,000411.SZ,11,9,7,6,6
0,000413.SZ,9,4,4,3,2
0,000415.SZ,3,3,2,1,1
0,000416.SZ,18,16,14,14,11
0,000417.SZ,2,1,0,0,0
0,000418.SZ,17,10,7,4,1
0,000419.SZ,2,1,0,0,0
0,000420.SZ,4,2,0,0,0
0,000421.SZ,1,1,1,1,1
0,000422.SZ,15,3,2,2,1
0,000423.SZ,2,2,0,0,0
