,symbol,date,close,pdi,willr,willr_89,willr_34,bias,pct
9,000005.SZ,2018-10-19,2.6,2.27012764590315,-30.7692307692308,,,,2.7667984189723382
4,000007.SZ,2018-10-12,5.78,0.0,,,,,4.144144144144146
7,000007.SZ,2018-10-17,5.78,9.40916463470401,-64.9253731343283,,,,-2.6936026936026924
8,000007.SZ,2018-10-18,6.36,16.0397016226533,-21.0526315789473,,,,10.034602076124566
9,000007.SZ,2018-10-19,7.0,27.9881393469596,0.0,,,,10.062893081761004
10,000007.SZ,2018-10-22,7.7,38.3262312472784,0.0,,,,10.000000000000009
25,000007.SZ,2018-11-12,7.58,29.4609743796627,-33.587786259542,,,8.08626938387501,3.978052126200282
31,000007.SZ,2018-11-20,8.23,32.7584536622866,-63.9455782312925,,,8.78449082998297,0.9815950920245342
32,000007.SZ,2018-11-21,9.05,36.9556602765829,-8.1632653061224,,,17.876913057636,9.963547995139743
40,000007.SZ,2018-12-03,7.39,30.4180437450529,-78.3333333333333,,-62.218045112782,-6.58379858843355,3.3566433566433407
45,000007.SZ,2018-12-10,7.56,30.0523214243507,-74.8251748251749,,-78.6967418546366,-6.26646691119491,-5.500000000000005
92,000007.SZ,2019-02-22,6.54,25.2854652688485,-13.9130434782609,-68.3087027914614,-47.6964769647697,8.27067669172941,7.21311475409836
106,000007.SZ,2019-03-14,7.06,27.2269907412365,-75.2066115702479,-59.7701149425287,-27.0833333333333,6.42547578669689,-7.953063885267275
8,000008.SZ,2018-10-18,3.58,1.93544615518832,-80.4347826086956,,,,-2.717391304347827
89,000008.SZ,2019-02-22,4.02,21.773999532062,-33.3333333333335,-45.1327433628319,-30.6666666666667,2.99989324223336,1.5151515151515138
27,000009.SZ,2018-11-14,4.56,33.9673297510098,-28.5714285714286,,,12.1426375653243,0.0
28,000009.SZ,2018-11-15,5.02,41.6049618601335,0.0,,,22.0916092419943,10.087719298245613
98,000009.SZ,2019-03-04,5.35,40.8660402191681,-41.0714285714286,-16.8421052631579,-14.7435897435898,14.755563499866,1.325757575757569
66,000010.SZ,2019-01-10,3.4,12.4383637692401,-21.7391304347827,,-88.3720930232558,-3.28315752044571,0.2949852507374562
29,000011.SZ,2018-11-16,10.03,29.6337006005751,-15.3846153846154,,,11.2178894843836,3.7228541882109667
100,000012.SZ,2019-03-06,5.44,49.5406677633154,-17.142857142857,-7.45341614906828,-7.89473684210521,16.6860309232282,4.816955684007707
98,000016.SZ,2019-03-04,4.6,53.3894020555504,-12.3595505617978,-7.05128205128207,-7.43243243243245,23.6143768894861,6.481481481481466
106,000016.SZ,2019-03-14,4.67,36.2825434745868,-53.2258064516129,-33.3333333333333,-34.5454545454545,11.3783166053861,1.9650655021834051
107,000016.SZ,2019-03-15,5.14,43.9894796284996,0.0,-12.719298245614,-13.1818181818182,20.5747238784088,10.064239828693777
25,000017.SZ,2018-11-12,4.59,25.1059051940917,-34.0425531914894,,,7.53611870363139,4.555808656036442
39,000017.SZ,2018-11-30,4.65,22.7374128601259,-51.2820512820511,,-36.0248447204969,0.676589986468161,1.7505470459518557
102,000017.SZ,2019-03-08,4.85,28.6162657825347,-96.5517241379311,-47.1590909090909,-37.5838926174497,3.54029532111722,-7.619047619047626
9,000018.SZ,2018-10-19,1.79,0.68747564711317,-82.6923076923077,,,,-3.7634408602150615
24,000018.SZ,2018-11-09,2.16,23.1573109465615,-31.578947368421,,,4.09638554216869,0.9345794392523477
25,000018.SZ,2018-11-12,2.38,30.2319718285713,0.0,,,14.9527067820487,10.185185185185164
26,000018.SZ,2018-11-13,2.62,40.4358785473338,0.0,,,26.1890427453341,10.084033613445387
39,000018.SZ,2018-11-30,2.34,23.8045686058836,-81.9444444444445,,-53.9568345323741,-4.22919508867671,-0.8474576271186418
66,000018.SZ,2019-01-10,2.29,20.5522399794027,-23.0769230769231,,-77.5280898876404,-1.94469223907229,0.0
67,000018.SZ,2019-01-11,2.52,28.9214365026077,0.0,,-48.8095238095238,7.82670707791045,10.043668122270732
82,000018.SZ,2019-02-01,2.06,18.5474863224846,-78.4313725490196,,-90.0,-12.4335812964931,3.0000000000000027
42,000020.SZ,2018-12-05,11.2,28.4527896355712,-19.8113207547171,,-27.1889400921659,2.45854774156655,0.26857654431511335
7,000023.SZ,2018-10-17,10.08,11.287043875558,-87.3831775700935,,,,0.9009009009008917
86,000023.SZ,2019-02-14,12.4,27.4687135265402,-11.9047619047619,,-46.2209302325581,3.47705146036162,0.08071025020177647
87,000023.SZ,2019-02-15,13.64,35.6209579470405,0.0,,-10.1744186046512,13.6903521566993,10.000000000000009
88,000023.SZ,2019-02-18,15.0,45.8014337120064,0.0,-11.1301369863014,0.0,24.0181893344357,9.97067448680351
89,000023.SZ,2019-02-19,16.5,54.3717094765509,0.0,0.0,0.0,34.7030410231989,10.000000000000009
92,000023.SZ,2019-02-22,16.0,47.2594545797678,-37.0689655172414,-25.7793764988009,-28.2894736842105,25.142577806746,-4.191616766467066
22,000025.SZ,2018-11-07,26.78,31.3392174078053,-60.5678233438486,,,,-2.262773722627731
88,000025.SZ,2019-02-18,26.72,23.9397998645676,-3.92156862745113,-66.7057444314185,-41.6309012875537,1.12752905555636,2.1406727828746197
98,000025.SZ,2019-03-04,28.75,33.5772607852154,-58.9887640449438,-43.5196195005945,-24.3630573248408,6.41743395178818,1.1967617036254818
99,000025.SZ,2019-03-05,31.63,42.3502762234838,0.0,-9.2746730083234,0.0,16.2031013210463,10.017391304347822
100,000025.SZ,2019-03-06,34.79,52.5699320613746,0.0,0.0,0.0,26.2737625334603,9.990515333544113
87,000030.SZ,2019-02-15,4.06,18.4142769908243,-26.3157894736843,,-18.867924528302,1.69067000626174,-1.6949152542372947
7,000031.SZ,2018-10-17,4.7,3.07978074171607,-88.235294117647,,,,1.2931034482758674
24,000034.SZ,2018-11-09,14.78,24.9912540349993,-60.4060913705584,,,8.47374698021468,1.2328767123287676
92,000034.SZ,2019-02-22,12.4,22.5495008183619,-0.96153846153844,-65.8703071672355,-38.6503067484662,5.9338625280319,4.641350210970474
103,000034.SZ,2019-03-11,15.17,34.7735854611156,-23.9669421487603,-18.6006825938567,-10.8411214953271,19.4253099783507,2.499999999999991
44,000035.SZ,2018-12-07,4.68,27.6164820349915,-34.6938775510204,,-26.984126984127,1.66545981173064,-0.2132196162047073
63,000037.SZ,2019-01-07,4.87,18.3720981300698,-15.7894736842104,,-64.8351648351648,-1.44194282823174,1.4583333333333393
87,000037.SZ,2019-02-15,5.31,40.0348547464969,-44.8717948717949,,-31.5315315315316,3.64346128822377,0.18867924528300772
88,000037.SZ,2019-02-21,5.84,38.7912112110405,0.0,0.0,0.0,13.5450421257291,9.981167608286267
91,000037.SZ,2019-02-26,7.29,59.7516119966881,-11.25,-8.1081081081081,-8.97009966777407,36.1344537815126,6.113537117903922
92,000037.SZ,2019-02-27,8.02,58.8351740648588,0.0,0.0,0.0,46.3948889564952,10.013717421124824
94,000037.SZ,2019-03-01,8.91,64.1963401172912,-21.0365853658536,-12.8491620111732,-13.6633663366337,53.8527951651198,1.0204081632652962
99,000037.SZ,2019-03-08,9.09,43.0672642642908,-63.0841121495327,-22.5375626043406,-24.2369838420108,34.351521123291,-7.7157360406091335
32,000038.SZ,2018-11-21,12.62,18.1027093304301,-49.0909090909093,,,2.86645836163562,-0.39463299131807794
35,000038.SZ,2018-11-26,14.05,39.4745586206497,-38.403041825095,,-24.8768472906404,12.3925071661889,-1.1954992967651235
29,000043.SZ,2018-11-16,7.78,38.2472122757372,-35.7142857142856,,,13.9578883124809,-1.3941698352344711
45,000045.SZ,2018-12-10,6.36,36.1224381275443,-46.7391304347826,,-30.7142857142857,5.23267838676314,3.0794165316045508
84,000045.SZ,2019-02-12,5.9,24.0809515749623,-3.50877192982448,,-60.1449275362319,-1.8574993069033,4.240282685512375
92,000046.SZ,2019-02-22,5.44,39.9429144774699,-13.5135135135135,-34.8101265822785,-10.204081632653,9.83427273492052,4.816955684007707
93,000046.SZ,2019-02-25,5.98,48.2768984623416,0.0,-0.69444444444443,0.0,19.7097339227625,9.926470588235304
82,000050.SZ,2019-02-01,9.57,20.0670901152014,-67.1641791044777,,-69.8630136986302,-2.12639025013848,3.683640303358615
84,000050.SZ,2019-02-12,10.97,43.1481921608416,-14.4186046511627,,-14.4186046511627,11.2012164216929,4.17853751187085
86,000050.SZ,2019-02-14,12.41,56.3423009023078,-18.0,,-18.0,22.9930624380575,2.8169014084507005
87,000050.SZ,2019-02-15,13.65,53.4071859143456,0.0,,0.0,33.1978044317951,9.991941982272357
88,000050.SZ,2019-02-18,15.02,60.9633482666427,0.0,0.0,0.0,43.5546174983075,10.036630036630022
92,000050.SZ,2019-02-22,16.99,59.2080511658889,-17.3758865248227,-11.0859728506787,-11.0859728506787,45.6806002143623,-1.5643105446118355
100,000050.SZ,2019-03-06,17.18,40.7059530184799,-16.8032786885246,-15.7949790794979,-15.7949790794979,22.9631396874628,-1.0938399539435872
69,000055.SZ,2019-01-15,4.4,32.2038734501948,-26.4705882352941,,-47.3684210526315,5.58944105589442,1.1494252873563315
70,000055.SZ,2019-01-16,4.84,46.9019339463359,0.0,,-1.05263157894735,15.5016406483047,9.999999999999986
71,000055.SZ,2019-01-17,5.32,57.6806569306593,0.0,,0.0,25.6445581578429,9.917355371900838
72,000055.SZ,2019-01-18,5.85,65.9095383677172,0.0,,0.0,36.0992632803412,9.962406015037573
59,000056.SZ,2018-12-28,4.73,9.88003172008237,-88.0597014925373,,-95.5801104972376,-13.9217470427662,1.2847965738758127
104,000056.SZ,2019-03-12,5.96,37.7366460643363,-28.9473684210526,-23.1481481481481,-11.7021276595745,13.209339137317,5.1146384479717755
25,000058.SZ,2018-11-12,4.75,34.4884789480216,-10.7142857142857,,,13.0279595478882,5.088495575221241
26,000058.SZ,2018-11-13,5.23,45.6504810346608,0.0,,,23.7869822485207,10.10526315789475
27,000058.SZ,2018-11-14,5.75,56.3685841240249,0.0,,,34.0716992130574,9.94263862332696
28,000058.SZ,2018-11-15,6.33,64.7246660992088,0.0,,,44.3420427553444,10.086956521739122
34,000058.SZ,2018-11-23,6.53,36.5568512631727,-74.7663551401869,,-22.1606648199446,28.3117733748158,-5.087209302325579
58,000058.SZ,2018-12-27,5.41,23.2906301933146,-92.5233644859813,,-73.4513274336283,-6.69732681805116,-7.0446735395188975
63,000058.SZ,2019-01-07,6.08,25.985302936984,-37.3831775700935,,-67.4074074074074,5.22065186039804,0.0
92,000058.SZ,2019-02-22,7.08,31.1005163072178,-15.2941176470588,-19.6172248803828,-7.42857142857142,8.55427074682178,6.46616541353382
92,000060.SZ,2019-02-22,4.41,26.4527739067189,-24.9999999999999,-17.1428571428572,-9.25925925925923,5.33439490445861,1.1467889908256756
15,000061.SZ,2018-10-29,4.1,14.2984133920919,-44.7368421052632,,,,0.7371007371007154
16,000061.SZ,2018-11-13,4.51,29.4615562392322,0.0,,,,10.000000000000009
19,000061.SZ,2018-11-16,4.89,37.1323795790014,-7.44680851063833,,,,1.0330578512396604
91,000063.SZ,2019-02-21,25.31,45.9039892356591,-26.4000000000001,-8.38983050847459,-12.2828784119107,18.5711497169628,5.458333333333321
29,000065.SZ,2018-11-16,8.66,23.588825707514,-13.7931034482759,,,2.25327167175047,-0.345224395857302
107,000065.SZ,2019-03-15,10.53,35.2595200707858,-14.1843971631206,-5.83090379008749,-5.83090379008749,16.7351840731673,7.999999999999985
91,000066.SZ,2019-02-21,6.44,43.4080542540324,-27.4509803921568,-13.3971291866028,-13.3971291866028,16.0447481042121,1.4173228346456845
98,000066.SZ,2019-03-04,7.09,41.60562656985,-60.2941176470589,-14.2857142857143,-15.8914728682171,15.9522998296423,1.4306151645207432
107,000066.SZ,2019-03-15,7.49,27.3176365902481,-89.1156462585034,-31.4148681055156,-36.5921787709497,6.24113475177304,-1.187335092348285
13,000068.SZ,2018-10-25,2.35,14.6718993710781,-34.6153846153846,,,,-2.083333333333326
23,000068.SZ,2018-11-08,2.64,30.7973400798635,-57.142857142857,,,5.33665835411471,3.125
24,000068.SZ,2018-11-09,2.9,33.3061383169865,0.0,,,15.3463705667882,9.84848484848484
25,000068.SZ,2018-11-12,3.19,43.2855815957056,0.0,,,25.9003453379378,10.000000000000009
26,000068.SZ,2018-11-13,3.51,51.8475814926093,0.0,,,36.7532467532468,10.03134796238243
27,000068.SZ,2018-11-14,3.86,59.1173918112157,0.0,,,47.0242818600222,9.971509971509974
28,000068.SZ,2018-11-15,4.25,65.3880397335841,0.0,,,57.2375520271312,10.103626943005196
29,000068.SZ,2018-11-16,4.68,70.7204831981494,0.0,,,67.2424061941632,10.11764705882352
48,000068.SZ,2018-12-13,3.52,24.6405979736406,-50.0,,-64.2611683848797,-11.6872255906335,-2.4930747922437657
49,000068.SZ,2018-12-14,3.87,28.5099427587591,0.0,,-52.7777777777778,-3.59144695868799,9.943181818181813
50,000068.SZ,2018-12-17,4.26,34.4109505695906,0.0,,-39.6491228070175,5.30435678236686,10.077519379844958
69,000068.SZ,2019-01-15,4.18,23.6246349292661,-58.2089552238807,,-60.1990049751244,-1.63741543288557,3.722084367245637
70,000068.SZ,2019-01-16,4.6,30.7582252642462,0.0,,-39.3034825870647,7.13245997088795,10.047846889952151
81,000068.SZ,2019-01-31,3.59,23.1742765815082,-99.009900990099,,-94.7368421052632,-16.6005226986738,-9.798994974874375
85,000068.SZ,2019-02-13,4.3,28.949619209611,-20.8791208791209,,-63.819095477387,-0.309119010819111,0.4672897196261516
90,000068.SZ,2019-02-20,4.58,31.3296021567601,-58.974358974359,-29.2035398230089,-49.748743718593,3.84506376948519,-3.3755274261603407
91,000068.SZ,2019-02-21,5.04,36.3488264355875,0.0,-15.6342182890856,-26.6331658291457,13.2690326809627,10.043668122270732
92,000068.SZ,2019-02-22,5.54,42.3693651217928,0.0,-0.884955752212397,-1.50753768844222,22.7700831024931,9.92063492063493
93,000068.SZ,2019-02-25,6.09,48.5574820252243,0.0,0.0,0.0,32.6195445059433,9.927797833935003
94,000068.SZ,2019-02-26,6.7,54.4050308986875,0.0,0.0,0.0,43.1751402368445,10.016420361247945
104,000068.SZ,2019-03-12,6.89,36.8959695938126,-48.1751824817518,-13.0952380952381,-16.624685138539,22.2263286273931,4.87062404870624
31,000070.SZ,2018-11-20,7.25,36.213167232804,-30.0,,,10.4060913705583,2.9829545454545414
59,000070.SZ,2018-12-28,7.1,22.9327785641132,-57.8125,,-70.3703703703704,-1.54841691703259,-1.6620498614958512
60,000070.SZ,2019-01-02,7.81,31.3876527412633,0.0,,-28.6666666666667,8.14054116425315,10.000000000000009
61,000070.SZ,2019-01-03,8.59,42.219912443975,0.0,,0.0,18.2042314087495,9.98719590268886
62,000070.SZ,2019-01-04,9.45,47.9114043595052,0.0,,0.0,28.3531409168081,10.011641443538988
63,000070.SZ,2019-01-07,10.4,55.6788620172793,0.0,,0.0,38.728323699422,10.052910052910068
65,000070.SZ,2019-01-09,11.18,64.5301326467476,-24.0875912408759,,-23.0769230769231,43.0582213691618,-2.2727272727272707
69,000070.SZ,2019-01-15,11.22,43.4677907944461,-77.4545454545454,,-32.5190839694656,30.5410122164048,-6.965174129353235
82,000070.SZ,2019-02-01,9.24,20.2614933173811,-70.5202312138728,,-62.7480916030534,-10.9969497511639,3.4714445688689866
90,000070.SZ,2019-02-20,10.84,25.4447327782979,-36.9230769230769,-32.9396325459318,-39.5275590551181,1.51793030787834,-0.8234217749313766
91,000070.SZ,2019-02-21,11.92,31.9988956109409,0.0,-18.7664041994751,-22.5196850393701,11.6889201218083,9.963099630996307
92,000070.SZ,2019-02-22,13.11,39.5222892336799,0.0,-3.1496062992126,-3.77952755905512,22.3375714452349,9.983221476510074
94,000070.SZ,2019-02-26,14.31,52.4602970940266,-29.0262172284644,-15.3769841269841,-19.4235588972431,30.9041012349443,-0.7628294036061023
95,000078.SZ,2019-02-27,3.68,39.5071879093725,-38.2978723404255,-16.2162162162162,-19.7802197802198,11.7550297355435,-1.3404825737265313
98,000078.SZ,2019-03-04,4.31,48.9900123222358,-17.3469387755103,-9.82658959537577,-11.2582781456954,26.1925094546785,4.61165048543688
88,000088.SZ,2019-02-18,5.87,44.4039967469361,-13.3333333333333,-8.95522388059702,-10.6194690265487,12.3534572134938,2.8021015761821477
88,000096.SZ,2019-02-18,9.42,24.1920221702912,-1.58730158730156,-40.8759124087591,-38.5135135135135,2.98833819241983,1.9480519480519431
84,000100.SZ,2019-02-12,3.03,40.8765806179825,-7.89473684210533,,-4.10958904109592,10.8367626886145,5.574912891986061
98,000100.SZ,2019-03-04,3.45,46.8462223161759,-41.860465116279,-13.8461538461538,-18.3673469387755,12.0281423352726,4.863221884498481
13,000150.SZ,2018-10-25,9.99,0.581357592512895,-100.0,,,,-9.999999999999998
17,000150.SZ,2018-10-31,12.39,15.4768748948412,0.0,,,,8.02092414995641
18,000150.SZ,2018-11-01,13.63,24.6887736350139,0.0,,,,10.008071025020172
11,000151.SZ,2018-10-23,9.76,17.4211237712198,-31.3043478260869,,,,-0.7121057985757906
29,000151.SZ,2018-11-16,11.23,31.7259216814005,-28.3464566929134,,,7.6443805415768,0.3574620196604261
11,000153.SZ,2018-10-23,4.88,12.3325654863577,-77.7777777777778,,,,-6.692160611854692
9,000155.SZ,2018-10-19,3.41,1.18492102544274,-82.7868852459016,,,,2.402402402402415
36,000156.SZ,2018-11-27,8.92,24.8254500152843,-65.8823529411766,,-38.3177570093458,3.78126817917393,-0.9988901220865709
26,000158.SZ,2018-11-13,5.22,28.7734994979927,-9.09090909090906,,,14.0775814969951,1.1627906976744207
92,000158.SZ,2019-02-22,5.36,25.7648672568084,-27.7777777777777,-35.3211009174312,-24.7191011235955,3.70848113511773,2.0952380952381056
100,000158.SZ,2019-03-06,6.3,42.4806174954445,-15.068493150685,-4.84581497797358,-6.39534883720932,17.1548117154812,3.960396039603964
24,000159.SZ,2018-11-09,4.13,27.2307667025877,-53.8461538461539,,,7.09886547811995,-4.8387096774193505
25,000159.SZ,2018-11-12,4.54,30.7804749068755,0.0,,,17.3379280637519,9.927360774818418
26,000159.SZ,2018-11-13,4.99,41.0849264662586,0.0,,,27.9623891441394,9.911894273127754
105,000159.SZ,2019-03-13,5.46,43.7181452271252,-38.0952380952381,-15.7635467980296,-16.8421052631579,15.0078988941548,3.018867924528301
106,000159.SZ,2019-03-14,6.01,43.4475202588346,0.0,0.0,0.0,24.4950802692905,10.073260073260059
107,000159.SZ,2019-03-15,6.61,51.5543436866327,0.0,0.0,0.0,34.1677943166441,9.98336106489186
9,000166.SZ,2018-10-19,3.97,2.09837143553992,-24.9999999999997,,,,2.0565552699228773
91,000166.SZ,2019-02-21,4.9,40.7990962297438,-39.9999999999999,-14.2857142857143,-16.3636363636363,8.60731437015149,0.8230452674897082
92,000166.SZ,2019-02-22,5.39,45.3657495223747,0.0,0.0,0.0,18.2990397805213,9.999999999999986
61,000400.SZ,2019-01-03,8.98,22.6487836229631,-47.8260869565217,,-62.7906976744186,-1.09678307558164,1.5837104072398356
102,000400.SZ,2019-03-08,10.69,25.5770541985627,-100.0,-31.1320754716981,-55.0,-1.19767397080916,-5.062166962699822
26,000401.SZ,2018-11-16,10.7,24.7346861710358,-14.2857142857143,,,2.31890987329669,0.0
99,000407.SZ,2019-03-05,4.41,35.8742491265988,0.0,0.0,0.0,9.69012332884237,2.3201856148491906
67,000410.SZ,2019-01-11,6.37,24.5208517611745,-15.0943396226415,,-48.4375,-0.455788514129501,2.5764895330112836
68,000410.SZ,2019-01-14,7.01,37.0262324095456,0.0,,0.0,9.23965976235303,10.047095761381474
69,000410.SZ,2019-01-15,7.71,48.501558542813,0.0,,0.0,19.2421703827812,9.985734664764623
13,000413.SZ,2018-10-25,4.21,7.72814626013243,-73.0769230769231,,,,-2.3201856148491795
84,000413.SZ,2019-02-12,4.52,25.3593493487763,-10.909090909091,,-51.4851485148515,-1.46243982196385,3.1963470319634535
92,000415.SZ,2019-02-22,4.3,42.9913890675733,-9.33333333333337,-6.93069306930696,-6.93069306930696,15.345926008718,6.9651741293532465
8,000416.SZ,2018-10-18,3.15,1.81777266246303,-96.3855421686747,,,,-3.963414634146334
9,000416.SZ,2018-10-19,3.47,13.833516918195,0.0,,,,10.158730158730167
10,000416.SZ,2018-10-22,3.82,30.204217344804,0.0,,,,10.086455331412104
14,000416.SZ,2018-10-26,3.95,37.4152205797737,-43.7908496732026,,,,-8.564814814814813
15,000416.SZ,2018-10-29,4.35,31.8335759065773,-25.2336448598131,,,,10.126582278481
88,000416.SZ,2019-02-18,4.5,33.0313823633279,-7.84313725490197,-38.695652173913,-5.71428571428572,7.28121585377966,5.633802816901423
92,000416.SZ,2019-02-22,5.29,35.2330385044248,-6.89655172413794,-4.34782608695651,-5.22875816993464,22.8684796283751,8.401639344262302
60,000426.SZ,2019-01-02,5.19,29.5929915989005,-6.06060606060606,,-36.734693877551,4.33908527391521,4.216867469879526
61,000426.SZ,2019-01-03,5.71,40.424180159724,0.0,,0.0,13.9720558882235,10.019267822736012
89,000426.SZ,2019-02-19,6.83,31.6222154968827,-16.6666666666667,-5.47445255474454,-6.22406639004151,9.53558302706312,3.957382039573809
6,000498.SZ,2018-10-16,4.37,0.0,-91.0112359550562,,,,-3.532008830022082
20,000498.SZ,2018-11-05,5.02,17.5647543227715,-30.5084745762713,,,,-1.3752455795677854
47,000498.SZ,2018-12-12,4.91,19.118594579523,-69.9999999999998,,-70.873786407767,-3.29886755292958,0.8213552361396204
24,000503.SZ,2018-11-09,14.11,12.9396551289402,-99.1935483870968,,,-4.06527097084905,-2.1497919556171974
4,000505.SZ,2018-10-12,5.38,10.7052681783802,,,,,-1.8248175182481896
15,000505.SZ,2018-10-29,5.71,28.176787063619,-54.2168674698795,,,,-5.3067993366500925
71,000506.SZ,2019-01-17,2.89,18.2729373727725,-52.9411764705882,,-78.125,-5.74806359559724,0.6968641114982521
88,000507.SZ,2019-02-18,7.53,41.5532787064664,-7.76699029126214,-55.4716981132075,-6.34920634920635,10.8031882280809,2.7285129604365688
