id,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,index,Name_CN
6857,YI,"111, Inc.",8.52,68028408.6,7984555.0,2018.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,NASDAQ,0,1药网
6858,PIH,"1347 Property Insurance Holdings, Inc.",4.55,27265565.6,,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,NASDAQ,1,
6859,PIHPP,"1347 Property Insurance Holdings, Inc.",20.58,0,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,NASDAQ,2,
6860,TURN,180 Degree Capital Corp.,1.98,61620692.76,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,NASDAQ,3,
6861,FLWS,"1-800 FLOWERS.COM, Inc.",12.8,821483148.8,,1999.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,NASDAQ,4,
6862,BCOW,"1895 Bancorp of Wisconsin, Inc.",10.0,32004500,,2019.0,Finance,Banks,https://www.nasdaq.com/symbol/bcow,NASDAQ,5,
6863,FCCY,1st Constitution Bancorp (NJ),19.75,165984767,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,NASDAQ,6,
6864,SRCE,1st Source Corporation,44.23,1148464945.58,,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,NASDAQ,7,
6865,VNET,"21Vianet Group, Inc.",9.52,590779822.08,62056704.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,NASDAQ,8,世纪互联
6866,TWOU,"2U, Inc.",55.31,3203699669.72,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,NASDAQ,9,
6867,QFIN,"360 Finance, Inc.",13.5,41850000,3100000.0,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,NASDAQ,10,360金融
6868,TPNL,"3PEA International, Inc.",3.65,169360000,,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl,NASDAQ,11,
6869,JOBS,"51job, Inc.",67.2,2448510691.2,36436171.0,2004.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,NASDAQ,12,前程无忧
6870,EGHT,8x8 Inc,19.79,1887395671.99,,,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,NASDAQ,13,
6871,AAON,"AAON, Inc.",35.79,1864463479.23,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,NASDAQ,14,艾伦建材
6872,ABEO,Abeona Therapeutics Inc.,7.02,336570291.72,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,NASDAQ,15,
6873,ABEOW,Abeona Therapeutics Inc.,2.96,0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,NASDAQ,16,
6874,ABIL,Ability Inc.,2.35,8611990.95,,2014.0,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,NASDAQ,17,
6875,ABMD,"ABIOMED, Inc.",324.13,14598661886.51,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,NASDAQ,18,
6876,AXAS,Abraxas Petroleum Corporation,1.36,226583133.2,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,NASDAQ,19,
6877,ACIU,AC Immune SA,11.49,773997308.1,,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,NASDAQ,20,
6878,ACIA,"Acacia Communications, Inc.",42.3,1710748925.1,,2016.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,NASDAQ,21,
6879,ACTG,Acacia Research Corporation,3.13,155371068.47,,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,NASDAQ,22,
6880,ACHC,"Acadia Healthcare Company, Inc.",29.05,2563840140.75,,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,NASDAQ,23,
6881,ACAD,ACADIA Pharmaceuticals Inc.,21.77,2722873105.89,,1985.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,NASDAQ,24,
6882,ACST,"Acasti Pharma, Inc.",1.09,85160138.03,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,NASDAQ,25,
