code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600000,2008-02-28,2007-12-31,0.207485,30.267991,0.032258,1.000000,0.212501,0.511119,,
sh.600000,2009-04-10,2008-12-31,0.357715,31.787532,0.031074,1.000011,0.362142,0.817844,,
sh.600000,2010-04-07,2009-12-31,0.241107,26.745212,0.025117,1.000109,0.358874,0.764056,,
sh.600000,2011-03-30,2010-12-31,0.200862,19.974556,0.026143,0.999928,0.384681,0.758619,,
sh.600000,2012-03-16,2011-12-31,0.200715,17.934268,0.027857,0.997473,0.402769,0.763272,,
sh.600000,2013-03-14,2012-12-31,0.209481,17.863391,0.028455,0.996357,0.413625,0.766658,,
sh.600000,2014-03-20,2013-12-31,0.214323,17.874660,0.029305,0.993252,0.411938,0.765102,,
sh.600000,2015-03-19,2014-12-31,0.202461,16.954366,0.031280,0.992948,0.384475,0.763502,,
sh.600000,2016-04-07,2015-12-31,0.175910,16.060576,0.031720,0.992294,0.347984,0.762549,,
sh.600000,2017-04-01,2016-12-31,0.155461,15.958635,0.029499,0.989213,0.333835,0.767103,,
sh.600000,2018-04-28,2017-12-31,0.136782,15.118785,0.028116,0.986473,0.326191,0.787678,,
sh.600000,2019-03-26,2018-12-31,0.124674,13.854311,,0.989366,0.329453,0.865679,,
sh.600004,2008-04-30,2007-12-31,0.073990,1.704640,0.322769,0.919776,0.146207,0.655414,0.872776,0.255593
sh.600004,2009-03-10,2008-12-31,0.085164,1.589439,0.336383,0.938959,0.169641,0.734052,0.897569,0.257476
sh.600004,2010-03-13,2009-12-31,0.090374,1.682576,0.326488,0.960241,0.171325,0.747980,0.925133,0.247586
sh.600004,2011-03-12,2010-12-31,0.092230,1.766987,0.343265,0.944077,0.161066,0.746016,0.950963,0.227034
sh.600004,2012-03-15,2011-12-31,0.103864,1.633720,0.386626,0.954475,0.172279,0.747581,0.942847,0.244418
sh.600004,2013-04-25,2012-12-31,0.106852,1.474445,0.449708,0.951937,0.169283,0.741114,0.956534,0.238796
sh.600004,2014-04-04,2013-12-31,0.119693,1.343704,0.511725,0.941521,0.184884,0.737142,1.000113,0.250783
sh.600004,2015-03-31,2014-12-31,0.134121,1.296247,0.525854,0.940172,0.209284,0.746528,1.025717,0.273314
sh.600004,2016-04-29,2015-12-31,0.138754,1.295455,0.480347,0.967962,0.230361,0.738793,1.030002,0.302724
sh.600004,2017-04-29,2016-12-31,0.137068,1.478416,0.410179,1.001373,0.225720,0.730790,1.008414,0.306294
sh.600004,2018-04-21,2017-12-31,0.123834,1.562219,0.335869,0.996590,0.236816,0.739338,0.989060,0.323852
sh.600006,2008-03-29,2007-12-31,0.095734,2.276310,1.151074,0.840395,0.043476,0.858979,1.046425,0.048368
sh.600006,2009-03-27,2008-12-31,0.060268,2.218604,1.070424,0.760914,0.033352,0.964607,0.915679,0.037759
sh.600006,2010-03-27,2009-12-31,0.059702,2.448722,1.097452,0.871484,0.025492,0.866259,1.120514,0.026263
sh.600006,2011-03-26,2010-12-31,0.100939,2.987663,1.171911,0.945641,0.030486,0.958364,1.154089,0.027564
sh.600006,2012-03-27,2011-12-31,0.077999,3.212542,1.119094,0.833329,0.026035,0.898562,1.092149,0.026529
sh.600006,2013-03-26,2012-12-31,0.003626,3.171130,0.931284,0.156669,0.007838,0.745267,1.133610,0.009277
sh.600006,2014-03-28,2013-12-31,0.008401,3.247240,0.995284,0.163354,0.015912,0.839452,1.000890,0.018939
sh.600006,2015-03-27,2014-12-31,0.023315,3.286271,0.881694,0.797664,0.010088,0.897714,1.244287,0.009031
sh.600006,2016-04-23,2015-12-31,0.055184,3.177376,0.851053,1.202309,0.016974,1.037768,0.971961,0.016828
sh.600006,2017-04-15,2016-12-31,0.033939,3.235048,0.767837,3.117838,0.004382,0.674041,1.325208,0.004906
sh.600006,2018-03-31,2017-12-31,0.030395,2.975253,0.931521,-2.321700,-0.004724,0.727161,0.875150,-0.007423
sh.600006,2019-03-30,2018-12-31,0.080020,2.703044,0.770794,1.008970,0.038065,1.115802,1.085751,0.031420
sh.600007,2008-03-19,2007-12-31,0.073537,1.677142,0.134366,0.998642,0.326767,0.663412,0.989519,0.497773
sh.600007,2009-03-21,2008-12-31,0.086051,1.852906,0.117522,0.998549,0.395745,0.749006,1.008170,0.524078
sh.600007,2010-03-27,2009-12-31,0.067487,1.992300,0.101919,0.998350,0.332914,0.748971,1.004409,0.442544
sh.600007,2011-03-24,2010-12-31,0.027768,2.112246,0.112758,0.995393,0.117127,0.748015,0.671230,0.233279
sh.600007,2012-03-24,2011-12-31,0.044215,2.144461,0.178221,0.996892,0.116050,0.746538,0.553770,0.280714
sh.600007,2013-03-23,2012-12-31,0.083738,2.056983,0.210681,0.998227,0.193569,0.748749,0.703921,0.367262
sh.600007,2014-04-09,2013-12-31,0.068081,1.956575,0.219367,0.998152,0.158915,0.749564,0.716785,0.295778
sh.600007,2015-03-25,2014-12-31,0.106424,1.887062,0.234861,0.998897,0.240392,0.750270,0.829380,0.386321
sh.600007,2016-03-24,2015-12-31,0.115432,1.832340,0.227986,0.998942,0.276612,0.748888,0.889484,0.415257
sh.600007,2017-03-23,2016-12-31,0.116478,1.818223,0.219287,0.999164,0.292379,0.747796,0.924202,0.423055
sh.600007,2018-03-24,2017-12-31,0.100744,1.815085,0.241882,0.998749,0.229753,0.748644,0.835362,0.367376
sh.600007,2019-03-30,2018-12-31,0.115729,1.700015,0.278642,0.998938,0.244570,0.748670,0.875702,0.373041
sh.600008,2008-04-10,2007-12-31,0.107571,2.265680,0.131247,0.823988,0.439022,0.916298,0.855686,0.559931
sh.600008,2009-03-27,2008-12-31,0.054749,2.558660,0.142262,0.736321,0.204271,0.817088,0.691254,0.361659
sh.600008,2010-03-20,2009-12-31,0.093302,2.851282,0.192914,0.867246,0.195589,0.781876,0.788135,0.317399
sh.600008,2011-04-08,2010-12-31,0.096236,3.118967,0.194121,0.805083,0.197429,0.808239,0.804392,0.303672
sh.600008,2012-04-20,2011-12-31,0.099394,3.408803,0.197319,0.774238,0.190861,0.798608,0.773640,0.308918
sh.600008,2013-04-17,2012-12-31,0.104798,3.693783,0.165107,0.778447,0.220742,0.800612,0.783299,0.351995
sh.600008,2014-04-10,2013-12-31,0.101941,3.923379,0.182822,0.708733,0.200529,0.775777,0.752671,0.343427
sh.600008,2015-04-22,2014-12-31,0.098900,4.011283,0.225829,0.886786,0.123115,0.789190,0.639413,0.243977
sh.600008,2016-03-30,2015-12-31,0.072549,4.146578,0.230393,0.764561,0.099326,0.759180,0.669159,0.195518
sh.600008,2017-03-29,2016-12-31,0.066859,4.145831,0.208870,0.945388,0.081670,0.681100,0.586871,0.204320
sh.600008,2018-03-30,2017-12-31,0.055093,4.079256,0.204911,0.871625,0.075618,0.722461,0.519287,0.201559
sh.600008,2019-03-30,2018-12-31,0.047890,3.993519,0.207620,0.882039,0.065483,0.637818,0.496755,0.206677
sh.600009,2008-03-28,2007-12-31,0.156195,1.296150,0.223546,0.982417,0.548719,0.886492,1.001555,0.618017
sh.600009,2009-02-28,2008-12-31,0.072317,1.401577,0.201101,0.953005,0.269225,0.843837,0.882640,0.361470
sh.600009,2010-02-27,2009-12-31,0.056384,1.366668,0.194991,0.944221,0.224083,0.857943,0.835796,0.312500
sh.600009,2011-02-26,2010-12-31,0.097500,1.281759,0.242960,0.932111,0.335890,0.842520,0.923910,0.431506
sh.600009,2012-02-29,2011-12-31,0.101965,1.238249,0.253212,0.928442,0.350271,0.830965,0.957696,0.440143
sh.600009,2013-03-02,2012-12-31,0.101527,1.230630,0.246312,0.920119,0.364019,0.815968,0.983976,0.453385
sh.600009,2014-03-29,2013-12-31,0.114441,1.232100,0.258641,0.925793,0.387905,0.804409,1.002761,0.480895
sh.600009,2015-03-12,2014-12-31,0.118366,1.240784,0.261800,0.931276,0.391275,0.801889,1.032575,0.472548
sh.600009,2016-03-12,2015-12-31,0.130546,1.254557,0.258369,0.943082,0.427055,0.794044,1.058013,0.508334
sh.600009,2017-03-18,2016-12-31,0.131670,1.233873,0.264400,0.946046,0.426623,0.797719,1.041126,0.513678
sh.600009,2018-03-24,2017-12-31,0.155323,1.148900,0.295916,0.954928,0.478427,0.796690,1.025729,0.585456
sh.600009,2019-03-23,2018-12-31,0.158545,1.095505,0.318527,0.954879,0.475821,0.787114,1.035687,0.583684
sh.600010,2008-04-18,2007-12-31,0.159378,2.161878,1.130155,1.000000,0.065232,0.899382,0.856362,0.084695
sh.600010,2009-04-16,2008-12-31,0.064750,2.727141,1.138299,1.000000,0.020858,0.868349,0.643503,0.037328
sh.600010,2010-04-30,2009-12-31,-0.121924,3.245434,0.783411,1.000862,-0.047913,0.753000,1.502483,-0.042349
sh.600010,2011-03-26,2010-12-31,0.015522,3.398092,0.954189,0.986336,0.004853,0.757242,0.266889,0.024015
sh.600010,2012-02-29,2011-12-31,0.038930,3.599538,0.933020,0.999480,0.011598,0.768076,0.413871,0.036484
sh.600010,2013-04-18,2012-12-31,0.019819,4.390689,0.650856,0.992010,0.006991,0.762371,0.266465,0.034414
sh.600010,2014-03-08,2013-12-31,0.015729,4.758595,0.498016,1.008121,0.006584,0.589763,0.355869,0.031370
sh.600010,2015-04-29,2014-12-31,0.010578,5.058553,0.310996,0.995126,0.006757,0.476755,0.300741,0.047128
sh.600010,2016-04-20,2015-12-31,-0.100112,3.763654,0.181023,1.001210,-0.146764,0.758488,1.197068,-0.161641
sh.600010,2017-04-21,2016-12-31,0.001803,3.035801,0.216699,0.998825,0.002744,0.258920,0.356286,0.029743
sh.600010,2018-04-20,2017-12-31,0.042689,2.983133,0.372697,1.005049,0.038203,0.725617,0.607562,0.086657
sh.600010,2019-04-19,2018-12-31,0.065297,2.902050,0.454826,0.998260,0.049556,0.785136,0.680058,0.092812
sh.600011,2008-03-26,2007-12-31,0.134484,2.626988,0.430529,0.934470,0.127246,0.868433,0.775083,0.189043
sh.600011,2009-04-01,2008-12-31,-0.089872,3.481122,0.473099,0.878480,-0.062119,0.950412,9.812261,-0.006661
sh.600011,2010-03-24,2009-12-31,0.131526,4.641148,0.444761,0.942121,0.067632,0.891453,0.580647,0.130660
sh.600011,2011-03-30,2010-12-31,0.075486,4.450689,0.499140,0.963040,0.035283,0.801217,0.469342,0.093828
sh.600011,2012-03-21,2011-12-31,0.024634,4.645375,0.557875,0.929622,0.010225,0.580995,0.236752,0.074337
sh.600011,2013-03-20,2012-12-31,0.111090,4.838599,0.524098,0.856431,0.051150,0.726876,0.519438,0.135474
sh.600011,2014-03-19,2013-12-31,0.179328,4.407594,0.517592,0.802797,0.097916,0.742485,0.698538,0.188788
sh.600011,2015-03-25,2014-12-31,0.161070,4.066102,0.471065,0.789104,0.106567,0.708046,0.711468,0.211546
sh.600011,2016-03-23,2015-12-31,0.185537,3.848365,0.450799,0.785544,0.136144,0.750463,0.750241,0.241807
sh.600011,2017-03-22,2016-12-31,0.109542,3.785158,0.373684,0.817180,0.094770,0.750799,0.682915,0.184835
sh.600011,2018-03-14,2017-12-31,0.022835,4.381344,0.443124,0.835356,0.014080,0.577029,0.270623,0.090163
sh.600011,2019-03-20,2018-12-31,0.018126,4.926278,0.434352,0.597689,0.014173,0.700570,0.241291,0.083842
sh.600012,2008-03-31,2007-12-31,0.113128,1.551483,0.237989,0.855776,0.358020,0.550378,0.955662,0.680679
sh.600012,2009-03-09,2008-12-31,0.143775,1.660010,0.211526,0.934630,0.438096,0.749766,0.955483,0.611533
sh.600012,2010-04-07,2009-12-31,0.130862,1.764453,0.195098,0.921987,0.412310,0.768233,0.947475,0.566452
sh.600012,2011-03-14,2010-12-31,0.141688,1.717912,0.222234,0.908575,0.408472,0.764752,0.904329,0.590629
sh.600012,2012-03-28,2011-12-31,0.142509,1.623276,0.227116,0.916254,0.421879,0.750519,0.927843,0.605831
sh.600012,2013-03-25,2012-12-31,0.118813,1.673692,0.207322,0.908041,0.377083,0.751566,0.908407,0.552318
sh.600012,2014-03-31,2013-12-31,0.124666,1.730305,0.197994,0.924443,0.393636,0.758912,0.919372,0.564172
sh.600012,2015-03-30,2014-12-31,0.117432,1.618895,0.197137,0.992167,0.370864,0.740621,0.922072,0.543067
sh.600012,2016-03-28,2015-12-31,0.119333,1.506066,0.205043,0.969412,0.398623,0.767296,0.980856,0.529657
sh.600012,2017-03-27,2016-12-31,0.111132,1.504061,0.197861,1.026640,0.363742,0.729614,0.937026,0.532045
sh.600012,2018-03-26,2017-12-31,0.120870,1.511613,0.209652,1.005267,0.379402,0.704758,0.957180,0.562427
sh.600012,2019-03-25,2018-12-31,0.115485,1.488825,0.204926,1.024074,0.369620,0.708636,0.965112,0.540448
sh.600015,2008-03-18,2007-12-31,0.170148,42.002346,0.027493,1.000000,0.147346,0.549935,,
sh.600015,2009-04-21,2008-12-31,0.151733,32.709340,0.026604,1.000000,0.174367,0.766456,,
sh.600015,2010-03-26,2009-12-31,0.130438,27.353721,0.021723,1.000000,0.219516,0.778904,,
sh.600015,2011-03-26,2010-12-31,0.182248,28.688346,0.025963,1.000000,0.244684,0.747954,,
sh.600015,2012-03-27,2011-12-31,0.185558,22.982308,0.029368,1.000104,0.274894,0.736064,,
sh.600015,2013-04-26,2012-12-31,0.184657,19.719293,0.029109,1.000049,0.321685,0.741714,,
sh.600015,2014-04-18,2013-12-31,0.193687,19.744076,0.028608,0.999678,0.343020,0.749143,,
sh.600015,2015-04-17,2014-12-31,0.192436,18.857624,0.031149,0.997670,0.328378,0.750864,,
sh.600015,2016-04-19,2015-12-31,0.172340,17.670451,0.030393,0.996359,0.322072,0.751914,,
sh.600015,2017-04-29,2016-12-31,0.145830,16.218804,0.029256,0.996001,0.308567,0.752810,,
sh.600015,2018-04-20,2017-12-31,0.123776,15.192285,0.027290,0.994281,0.300268,0.759266,,
sh.600015,2019-04-19,2018-12-31,0.108277,13.472380,,0.993710,0.290556,0.783557,,
sh.600016,2008-03-04,2007-12-31,0.182330,23.315829,0.031232,1.000000,0.250389,0.687672,,
sh.600016,2009-04-23,2008-12-31,0.151538,18.970106,0.035476,0.998986,0.225405,0.752574,,
sh.600016,2010-04-20,2009-12-31,0.170582,17.480601,0.033909,0.999670,0.287874,0.773378,,
sh.600016,2011-03-26,2010-12-31,0.183000,16.915245,0.033702,0.993951,0.322962,0.769847,,
sh.600016,2012-03-23,2011-12-31,0.238934,17.341525,0.040647,0.981612,0.345316,0.765111,,
sh.600016,2013-03-29,2012-12-31,0.256688,18.590872,0.037901,0.980552,0.371522,0.756298,,
sh.600016,2014-03-29,2013-12-31,0.234364,17.844810,0.035999,0.976803,0.373488,0.757327,,
sh.600016,2015-03-31,2014-12-31,0.203474,16.538266,0.037415,0.977593,0.336365,0.762079,,
sh.600016,2016-03-31,2015-12-31,0.170352,15.767371,0.036183,0.980626,0.304497,0.773719,,
sh.600016,2017-03-31,2016-12-31,0.148625,16.179614,0.029801,0.980832,0.314269,0.809607,,
