,pct_sum,pct_cur,name,industry
601860.SH,103.679704432322,"Series([], Name: pct_sum, dtype: float64)",紫金银行,银行
600928.SH,67.82076999483317,"Series([], Name: pct_sum, dtype: float64)",西安银行,银行
601577.SH,43.725519388703546,"Series([], Name: pct_sum, dtype: float64)",长沙银行,银行
601128.SH,38.810276305674236,"Series([], Name: pct_sum, dtype: float64)",常熟银行,银行
002936.SZ,38.190610843400464,"Series([], Name: pct_sum, dtype: float64)",郑州银行,银行
603323.SH,37.88277729685356,"Series([], Name: pct_sum, dtype: float64)",苏农银行,银行
002839.SZ,37.06433991804018,"Series([], Name: pct_sum, dtype: float64)",张家港行,银行
002948.SZ,36.96406075104173,"Series([], Name: pct_sum, dtype: float64)",青岛银行,银行
000001.SZ,36.34051062803563,"Series([], Name: pct_sum, dtype: float64)",平安银行,银行
002807.SZ,32.326995122265664,"Series([], Name: pct_sum, dtype: float64)",江阴银行,银行
600748.SH,65.51154431683699,"Series([], Name: pct_sum, dtype: float64)",上实发展,全国地产
000046.SZ,48.16984147358605,"Series([], Name: pct_sum, dtype: float64)",泛海控股,全国地产
000616.SZ,47.09799317423912,"Series([], Name: pct_sum, dtype: float64)",海航投资,全国地产
600393.SH,46.39406670878953,"Series([], Name: pct_sum, dtype: float64)",粤泰股份,全国地产
600240.SH,45.59399882951659,"Series([], Name: pct_sum, dtype: float64)",华业资本,全国地产
600565.SH,44.613767694958725,"Series([], Name: pct_sum, dtype: float64)",迪马股份,全国地产
600708.SH,42.55349110889905,"Series([], Name: pct_sum, dtype: float64)",光明地产,全国地产
600208.SH,40.00319187675664,"Series([], Name: pct_sum, dtype: float64)",新湖中宝,全国地产
600383.SH,39.11516695495004,"Series([], Name: pct_sum, dtype: float64)",金地集团,全国地产
000036.SZ,37.81337524737335,"Series([], Name: pct_sum, dtype: float64)",华联控股,全国地产
300119.SZ,65.72814641572889,"Series([], Name: pct_sum, dtype: float64)",瑞普生物,生物制药
000661.SZ,62.26611407936698,"Series([], Name: pct_sum, dtype: float64)",长春高新,生物制药
000806.SZ,61.75765709309006,"Series([], Name: pct_sum, dtype: float64)",ST银河,生物制药
300255.SZ,60.739893993490405,"Series([], Name: pct_sum, dtype: float64)",常山药业,生物制药
000078.SZ,53.21247411298176,"Series([], Name: pct_sum, dtype: float64)",海王生物,生物制药
300406.SZ,47.85127199274197,"Series([], Name: pct_sum, dtype: float64)",九强生物,生物制药
000518.SZ,45.75784702950506,"Series([], Name: pct_sum, dtype: float64)",四环生物,生物制药
300601.SZ,45.602044054756874,"Series([], Name: pct_sum, dtype: float64)",康泰生物,生物制药
002007.SZ,42.50606008892228,"Series([], Name: pct_sum, dtype: float64)",华兰生物,生物制药
002332.SZ,41.27499114825574,"Series([], Name: pct_sum, dtype: float64)",仙琚制药,生物制药
300332.SZ,69.73925999900857,"Series([], Name: pct_sum, dtype: float64)",天壕环境,环境保护
002034.SZ,56.583821596288594,"Series([], Name: pct_sum, dtype: float64)",旺能环境,环境保护
300262.SZ,51.79189350420433,"Series([], Name: pct_sum, dtype: float64)",巴安水务,环境保护
603822.SH,47.43896934932884,"Series([], Name: pct_sum, dtype: float64)",嘉澳环保,环境保护
603126.SH,46.15809712208116,"Series([], Name: pct_sum, dtype: float64)",中材节能,环境保护
000820.SZ,44.48242398270554,"Series([], Name: pct_sum, dtype: float64)",神雾节能,环境保护
002887.SZ,43.20687372855473,"Series([], Name: pct_sum, dtype: float64)",绿茵生态,环境保护
