,pct_sum,pct_cur,p5,p6,p7,p8,p9,s5,s6,s7,s8,s9,name,industry,list_date,area
601860.SH,103.679704432322,71.18145740390545,14,0,13,0,13,6,0,4,0,2,紫金银行,银行,20190103,江苏
600928.SH,67.5355517408649,50.92613932527372,8,0,8,0,8,3,0,2,0,1,西安银行,银行,20190301,陕西
601577.SH,43.725519388703546,23.39559676466489,3,0,3,0,3,0,1,0,1,0,长沙银行,银行,20180926,湖南
601128.SH,38.810276305674236,21.338974933091563,2,0,2,0,1,1,0,1,0,1,常熟银行,银行,20160930,江苏
002936.SZ,38.190610843400464,15.698364388739245,2,2,2,2,2,1,0,1,0,1,郑州银行,银行,20180919,河南
603323.SH,37.88277729685356,20.65216203800989,3,1,1,0,1,1,0,1,0,1,苏农银行,银行,20161129,江苏
002839.SZ,37.06433991804018,22.91407268741285,3,0,3,0,1,1,0,1,0,1,张家港行,银行,20170124,江苏
002948.SZ,36.96406075104173,15.404466512546497,6,1,4,0,4,2,0,2,0,2,青岛银行,银行,20190116,山东
000001.SZ,36.34051062803563,29.80946411851484,1,1,0,1,0,0,0,0,0,0,平安银行,银行,19910403,深圳
002807.SZ,32.326995122265664,20.31506038904545,1,1,1,0,1,0,1,0,1,0,江阴银行,银行,20160902,江苏
600908.SH,31.99349184963439,19.8074266061476,1,2,1,0,1,1,0,1,0,1,无锡银行,银行,20160923,江苏
600036.SH,29.85968305848332,28.941884204308717,0,1,0,0,0,0,0,0,0,0,招商银行,银行,20020409,深圳
601997.SH,28.184140381740036,18.442067119855164,1,0,1,0,1,0,1,0,0,0,贵阳银行,银行,20160816,贵州
601166.SH,27.717529468578125,18.35009492606056,0,2,0,1,0,0,0,0,0,0,兴业银行,银行,20070205,福建
601998.SH,27.385602484100776,14.42224518044802,1,1,1,0,1,1,0,0,0,0,中信银行,银行,20070427,北京
002142.SZ,27.345178521723753,24.25158317403524,0,1,0,0,0,0,0,0,0,0,宁波银行,银行,20070719,浙江
601009.SH,25.1845333827582,19.46919997924669,0,1,0,0,0,0,0,0,0,0,南京银行,银行,20070719,江苏
600919.SH,24.559895009977286,16.633282016709522,0,1,0,1,0,1,0,0,0,0,江苏银行,银行,20160802,江苏
