,symbol,p5,p6,p7,p8,p9,s5,s6,s7,s8,s9
0,000001.SZ,2,2,1,1,0,4,1,1,0,0
0,000002.SZ,6,1,2,1,1,7,0,3,0,1
0,000004.SZ,5,1,3,0,0,2,1,1,0,0
0,000005.SZ,5,2,4,0,3,5,1,2,0,2
0,000006.SZ,6,1,2,0,2,8,4,2,2,2
0,000007.SZ,17,7,13,1,12,20,4,15,1,13
0,000008.SZ,5,2,3,1,2,8,1,4,1,4
0,000009.SZ,7,2,4,0,3,6,3,4,0,3
0,000010.SZ,8,6,6,2,4,9,7,5,4,2
0,000011.SZ,8,1,4,0,3,10,4,4,0,2
0,000012.SZ,2,1,1,0,1,6,1,4,0,3
0,000014.SZ,18,5,12,0,11,13,6,10,1,7
0,000016.SZ,7,4,4,2,3,7,5,2,2,1
0,000017.SZ,13,3,13,0,11,11,5,5,2,4
0,000018.SZ,13,7,8,1,8,13,9,10,0,10
0,000019.SZ,7,1,6,1,6,11,2,6,1,5
0,000020.SZ,12,2,9,0,9,13,3,7,0,5
0,000021.SZ,5,3,2,1,2,7,3,5,1,3
0,000023.SZ,16,2,12,0,12,16,5,8,2,7
0,000025.SZ,10,1,10,0,10,9,0,4,0,3
0,000026.SZ,1,0,0,0,0,3,2,2,0,1
0,000027.SZ,4,1,1,0,0,2,1,2,1,0
0,000028.SZ,0,1,0,0,0,2,1,0,0,0
0,000030.SZ,3,1,2,0,1,3,1,2,0,2
0,000031.SZ,5,0,2,0,2,3,1,3,0,1
0,000032.SZ,13,1,3,0,1,9,7,2,2,1
0,000034.SZ,10,2,7,1,6,14,2,9,0,4
0,000035.SZ,3,3,2,0,1,6,4,3,1,2
0,000036.SZ,5,4,2,1,1,11,1,5,0,4
0,000037.SZ,14,2,13,1,11,8,1,5,1,2
0,000038.SZ,4,0,3,0,3,5,3,2,0,2
0,000039.SZ,2,1,0,1,0,6,1,4,0,4
0,000040.SZ,5,1,3,0,0,8,0,3,0,3
0,000042.SZ,4,2,0,2,0,4,3,2,1,1
0,000043.SZ,3,0,1,0,1,4,2,3,2,2
0,000045.SZ,7,1,5,0,3,8,1,6,0,4
0,000046.SZ,11,3,4,0,2,9,3,4,1,1
0,000048.SZ,6,2,2,1,2,3,0,0,0,0
0,000049.SZ,12,2,2,0,0,5,0,3,0,2
0,000050.SZ,12,1,8,0,7,10,5,7,2,5
0,000055.SZ,10,2,8,1,8,7,3,4,1,4
0,000056.SZ,5,2,2,0,2,10,1,7,1,6
0,000058.SZ,14,5,10,0,9,12,5,7,1,4
0,000059.SZ,3,1,0,1,0,6,2,3,0,2
0,000060.SZ,2,2,1,0,1,9,2,5,0,3
0,000061.SZ,5,1,4,1,3,4,3,1,1,0
0,000062.SZ,3,3,2,0,2,6,2,5,0,2
0,000063.SZ,17,6,11,3,6,20,2,13,1,11
0,000065.SZ,12,1,8,0,5,7,2,4,2,2
0,000066.SZ,11,4,7,1,5,9,3,5,1,2
0,000068.SZ,25,3,22,1,22,20,2,16,1,11
0,000069.SZ,5,2,0,0,0,4,3,1,0,1
0,000070.SZ,21,2,15,1,14,13,2,9,0,5
0,000078.SZ,5,0,2,0,2,4,2,3,1,2
0,000088.SZ,3,0,1,0,1,8,4,4,1,2
0,000089.SZ,2,1,0,1,0,0,0,0,0,0
0,000090.SZ,4,1,1,0,1,6,0,3,0,3
0,000096.SZ,1,2,1,1,1,1,1,0,1,0
0,000099.SZ,3,0,1,0,0,6,0,4,0,3
0,000100.SZ,8,3,3,1,2,3,0,2,0,0
0,000150.SZ,9,5,4,1,3,12,2,10,0,7
0,000151.SZ,15,2,10,0,10,14,4,9,0,7
0,000153.SZ,5,1,2,0,2,7,1,3,0,1
0,000155.SZ,9,2,4,0,4,5,4,3,2,2
0,000156.SZ,4,1,2,0,1,3,2,0,0,0
0,000157.SZ,1,0,0,0,0,1,1,0,1,0
0,000158.SZ,11,0,6,0,5,9,6,6,4,5
0,000159.SZ,15,0,13,0,12,10,3,5,1,2
0,000166.SZ,4,0,4,0,3,2,1,2,1,1
0,000301.SZ,4,4,3,0,1,2,3,1,1,1
0,000333.SZ,7,2,1,0,0,3,1,1,0,1
0,000338.SZ,2,3,1,2,0,1,2,1,0,0
0,000400.SZ,9,2,4,0,3,7,1,1,0,0
0,000401.SZ,7,5,4,1,3,10,1,6,0,3
0,000402.SZ,3,0,0,0,0,2,2,0,1,0
0,000403.SZ,5,1,1,0,0,1,1,0,0,0
0,000404.SZ,1,1,1,0,1,6,1,1,1,1
0,000407.SZ,7,2,4,1,4,5,6,3,5,2
0,000408.SZ,4,2,3,0,0,4,1,3,1,2
0,000409.SZ,15,1,1,0,1,7,1,3,0,2
0,000410.SZ,12,2,8,0,7,14,3,4,0,4
0,000411.SZ,9,2,7,0,6,13,3,5,1,5
0,000413.SZ,8,1,3,1,2,3,3,2,1,1
0,000415.SZ,2,1,2,0,1,5,2,5,1,2
0,000416.SZ,13,5,11,3,11,10,5,7,3,5
0,000417.SZ,1,1,0,0,0,5,1,3,1,0
0,000418.SZ,11,6,4,3,1,3,1,2,0,1
0,000419.SZ,1,1,0,0,0,3,4,2,2,1
0,000420.SZ,2,2,0,0,0,2,1,1,1,1
0,000421.SZ,1,0,1,0,1,6,3,1,1,0
0,000422.SZ,13,2,1,1,1,14,0,3,0,3
0,000423.SZ,0,2,0,0,0,1,1,1,0,1
0,000425.SZ,2,2,1,0,0,1,3,0,1,0
0,000426.SZ,9,4,5,0,3,12,5,7,1,5
0,000428.SZ,2,0,1,0,1,5,2,1,1,1
0,000429.SZ,0,0,0,0,0,0,1,0,0,0
0,000430.SZ,1,0,0,0,0,3,2,2,0,1
0,000488.SZ,6,0,1,0,0,3,4,2,1,2
0,000498.SZ,14,4,10,0,10,5,5,2,3,2
0,000501.SZ,2,0,0,0,0,4,2,1,0,0
0,000502.SZ,3,2,0,0,0,6,2,3,1,1
0,000503.SZ,14,10,12,1,8,17,6,13,1,12
0,000504.SZ,8,3,4,1,2,10,2,7,0,6
0,000505.SZ,13,1,12,0,9,11,4,8,1,3
0,000506.SZ,8,4,5,0,5,13,5,11,1,7
0,000507.SZ,1,2,1,0,1,7,5,5,2,2
0,000509.SZ,16,1,14,0,14,14,5,9,3,6
0,000510.SZ,9,0,5,0,3,5,5,5,1,3
0,000513.SZ,9,5,1,1,0,14,3,5,2,1
0,000514.SZ,6,0,5,0,4,5,2,3,0,2
0,000516.SZ,2,2,1,0,1,2,2,1,1,0
0,000517.SZ,17,3,13,0,12,9,5,5,3,3
0,000518.SZ,11,1,10,0,9,10,2,5,0,4
0,000519.SZ,6,4,2,0,2,6,3,3,1,1
0,000520.SZ,6,2,4,0,3,4,2,4,1,2
0,000521.SZ,4,0,4,0,4,8,4,5,1,1
0,000523.SZ,2,0,0,0,0,6,2,4,1,4
0,000524.SZ,4,0,2,0,2,6,1,4,0,1
0,000525.SZ,4,1,2,1,1,1,4,1,1,1
0,000526.SZ,9,2,6,0,5,7,2,6,1,4
0,000528.SZ,11,1,4,0,2,7,4,4,2,3
0,000529.SZ,8,2,5,0,5,7,7,3,3,1
0,000530.SZ,8,1,6,0,6,8,1,4,0,4
0,000531.SZ,7,2,5,0,5,8,2,5,0,3
0,000532.SZ,20,4,14,0,12,20,6,12,2,8
0,000533.SZ,16,2,13,0,11,15,6,12,0,10
0,000534.SZ,2,0,0,0,0,1,1,0,0,0
0,000536.SZ,15,3,13,0,11,13,4,8,2,5
0,000537.SZ,8,0,3,0,1,11,1,5,1,4
0,000538.SZ,3,1,1,0,1,1,1,1,0,0
0,000539.SZ,1,1,0,0,0,3,0,0,0,0
0,000540.SZ,3,1,2,1,1,2,1,2,1,2
0,000541.SZ,0,0,0,0,0,1,4,1,1,1
